country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Israel,26800,26200,25700,25400,26100,26600,27600,28700,29000,28600,29700,30600,30600,31300,31900,32100,32700,33200,33700,34100
Italy,36500,37200,37200,37100,37400,37600,38200,38600,38000,35700,36200,36300,35200,34200,33900,34300,34700,35400,35700,35800
Jamaica,7940,7990,8090,8340,8400,8430,8630,8710,8590,8180,8020,8110,8020,8010,8020,8050,8120,8150,8270,8310
Japan,33900,33900,33900,34300,35100,35700,36100,36700,36300,34300,35800,35800,36400,37100,37300,37800,38100,38900,39300,39700
Jordan,7220,7460,7750,7900,8350,8740,9090,9420,9630,9660,9390,9120,8870,8660,8530,8410,8320,8300,8310,8350
Kazakhstan,9950,11300,12400,13500,14700,16000,17500,18900,19300,19000,20100,21300,22000,23000,23600,23500,23400,24100,24700,25400
Kenya,2100,2120,2070,2080,2120,2190,2270,2360,2300,2310,2440,2520,2560,2640,2710,2800,2890,2960,3080,3160
Kiribati,1990,1930,1970,1970,1900,1960,1920,1910,1830,1800,1750,1750,1800,1850,1820,1980,2050,2030,2040,2050
Kuwait,70100,68700,69600,80700,87900,93700,96400,96800,93600,81900,75400,78000,78700,75600,72600,70300,70100,66000,65500,64100
Kyrgyz Republic,2080,2160,2140,2270,2400,2370,2420,2600,2790,2840,2790,2920,2870,3120,3180,3230,3310,3390,3450,3500
Lao,2490,2590,2700,2820,2960,3120,3330,3520,3740,3950,4220,4490,4770,5080,5390,5690,6000,6310,6610,6940
Latvia,11200,12100,13100,14300,15700,17500,19800,21900,21400,18600,18300,19800,20800,21600,22200,23000,23700,25000,26400,27300
Lebanon,10600,10600,10500,10300,10500,10500,10600,11500,12600,13700,14400,13800,13400,12800,12300,11900,11800,11600,11600,11700
Lesotho,1640,1690,1710,1800,1840,1910,2000,2100,2240,2290,2420,2580,2720,2750,2810,2870,2940,2850,2870,2920
Liberia,1320,1310,1330,910,916,940,982,1030,1060,1080,1100,1150,1210,1280,1260,1230,1180,1180,1160,1140
Libya,21900,21200,20700,23000,23600,26000,27300,28600,29000,28400,29500,11100,24600,21100,16000,14400,13900,17300,18400,14800
Lithuania,12200,13100,14100,15700,16900,18500,20200,22700,23600,20300,21100,22900,24000,25100,26300,27000,28000,29600,31100,32400
Luxembourg,81700,82800,85000,85400,87200,88600,91700,97900,94900,89100,91700,92000,89500,90700,92300,93700,93900,93100,93700,94300
Madagascar,1440,1480,1260,1340,1370,1390,1420,1460,1520,1420,1390,1370,1370,1360,1370,1380,1400,1420,1450,1490
Malawi,884,819,813,839,862,868,884,942,986,1040,1080,1100,1090,1110,1140,1140,1140,1150,1160,1180
Malaysia,16300,16000,16500,17200,18000,18600,19200,20000,20600,19900,21000,21800,22700,23400,24500,25400,26100,27300,28200,29100
Maldives,9800,9190,9590,10600,10900,9250,11400,12000,12800,11500,12000,12500,12300,12600,12900,12700,13000,13300,13600,14300
Mali,1470,1640,1640,1740,1710,1760,1790,1790,1810,1840,1880,1880,1810,1800,1870,1920,1970,2020,2060,2100
Malta,24600,24600,25100,25600,25500,26300,26700,27700,28400,27500,28300,28600,29100,30000,31900,34500,35600,37000,38100,39300
Marshall Islands,2970,3090,3120,3060,3000,3050,3060,3160,3100,3050,3240,3270,3370,3450,3410,3380,3430,3530,3600,3630
Mauritania,2830,2810,2760,2840,2920,3090,3570,3570,3500,3370,3430,3480,3580,3690,3780,3720,3690,3700,3720,3890
Mauritius,11300,11600,11700,12300,12700,12900,13400,14100,14900,15300,15900,16600,17100,17600,18300,18900,19600,20300,21100,21800
Mexico,16100,15800,15600,15600,16000,16200,16600,16800,16700,15600,16200,16500,16900,16900,17200,17500,17800,17900,18100,18000
"Micronesia, Fed. Sts.",3120,3180,3210,3270,3180,3260,3280,3240,3200,3250,3320,3410,3310,3140,3030,3140,3120,3190,3200,3240
Moldova,2810,2990,3230,3450,3720,4000,4210,4340,4690,4420,4730,5010,4980,5440,5710,5700,5950,6230,6490,6720
Monaco,50200,50900,51100,51300,52200,52800,54600,60900,59900,53700,54100,58100,58100,57900,58300,58800,59500,60100,60700,61400
Mongolia,4660,4750,4930,5220,5710,6050,6480,7050,7570,7350,7690,8850,9750,10700,11300,11300,11200,11600,12200,12800
Montenegro,10400,10500,10600,10800,11300,11800,12800,13600,14600,13700,14000,14500,14100,14600,14800,15300,15700,16500,17300,17800
Morocco,4490,4760,4850,5080,5260,5370,5710,5850,6120,6300,6460,6700,6810,7020,7110,7330,7310,7510,7650,7770
Mozambique,573,628,663,686,718,758,809,846,879,910,945,984,1030,1070,1120,1160,1170,1180,1180,1170
Myanmar,1290,1420,1580,1780,2000,2250,2530,2820,3080,3390,3690,3870,4110,4420,4740,5030,5290,5610,5920,6270
Namibia,6540,6510,6720,6900,7630,7700,8110,8390,8460,8330,8680,8960,9250,9600,10000,10500,10400,10100,9900,9700
Nauru,7130,6640,5970,5970,5700,5010,4030,4050,5420,5860,6610,7340,7910,10100,12600,12300,13000,13700,13400,13600
Nepal,1530,1570,1550,1590,1640,1680,1710,1750,1840,1910,1990,2050,2160,2250,2390,2460,2450,2610,2720,2880
Netherlands,42000,42700,42500,42400,43000,43800,45300,46900,47700,45700,46100,46600,45900,45800,46200,46900,47700,48800,49800,50500
New Zealand,28100,28900,29700,30500,31200,31900,32400,33100,32500,32100,32200,32700,33300,33900,34600,35200,35700,36000,36400,36500
Nicaragua,3420,3470,3440,3480,3620,3720,3820,3960,4040,3850,3970,4160,4380,4530,4690,4850,5000,5170,4910,4620
Niger,755,780,774,786,758,763,777,772,815,779,812,799,860,870,900,903,912,921,932,954
